선택지ID,경험치,평판,친구수,성장도,호감도,에너지,답변,반응말풍선
B_101,0,0,2,0,0,0,아빠랑 많이 닮았다는 말 들어요!,기쁨
B_102,0,0,2,0,1,0,감사해요! 오늘 좀 신경 썼어요.,감사
B_103,0,0,0,2,0,0,초록색이요! 제 머리 색이랑 맞춰봤어요.,기쁨
B_104,0,0,2,0,0,0,딸기 스무디 추천해요\c 상큼하고 맛있어요!,기쁨
B_105,0,0,0,2,3,0,저는 그래도 수록곡보다 타이틀곡이 더 좋아요!,기쁨
B_106,0,0,0,2,0,0,진설 언니랑 제일 자주 이야기해요.,고민
B_107,0,0,0,0,-3,0,저는 미성년자인데...,화남
B_108,0,0,0,0,0,-1,아직은 계획 없어요!,고민
B_109,0,2,0,0,0,0,춤이 제일 큰 관심사예요.\n요즘 유행하는 춤을 따는게 재밌더라고요.,고민
B_110,0,-1,2,3,0,0,데뷔 후에 친해진 친구는 없어요.\n그치만 데뷔전부터 알던 친구들은 있죠!,기쁨
B_111,0,2,0,2,0,0,운동하고 스트레칭 자주 해요!,기쁨
B_112,0,0,3,0,0,0,최근에 핸드폰을 바꿨어요!,기쁨
B_113,0,2,0,0,1,0,외국어는 아직 많이 못해요. 더 노력해야죠...,슬픔
B_114,0,0,2,2,0,0,악기는 따로 배우지 않았어요.,당황
B_115,0,2,0,0,0,0,부모님이랑 남동생이 있어요. 남동생은 3살 어려요.,기쁨
B_201,0,-1,2,3,0,0,댄스곡을 주로 들어요. 신나는 음악 좋아해요.,기쁨
B_202,0,2,0,2,0,0,액션 영화 좋아해요. 최근에 본 건 '어벤져스'!,기쁨
B_203,0,0,3,0,0,0,만화책 자주 읽어요. 근데 최근에는 못 읽은것 같아요.,슬픔
B_204,0,2,0,0,1,0,스트릿 패션 브랜드 자주 입어요. 편하고 멋있어요.,기쁨
B_205,0,0,2,2,0,0,운동하면서 풀어요. 요즘은 스트레칭도 많이 해요.,기쁨
B_206,0,0,2,0,0,0,댄스 연습에 많이 빠져 있어요. 신나요!,기쁨
B_207,0,0,2,0,1,0,바닷가 가고 싶어요. 조용한 곳이 좋아요.,고민
B_208,0,0,0,2,0,0,여름이요. 수영도 하고 활동하기 좋아서요.,기쁨
B_209,0,0,2,0,0,0,댄스곡이 많아요. 신나고 에너지 넘쳐서요.,기쁨
B_210,0,0,0,2,3,0,캐주얼하고 편안한 옷을 자주 입어요.,기쁨
B_211,0,0,0,2,0,0,딸기 스무디 맛있는 카페 추천해요!,기쁨
B_212,0,0,3,0,0,0,스케이트보드를 배워보고 싶어요!,기쁨
B_213,0,2,0,0,1,0,춤추는 게 제일 좋아요! 특히 댄스 연습.,기쁨
B_214,0,0,2,2,0,0,드럼을 배우고 싶어요. 리듬감이 좋아서요.,기쁨
B_215,0,0,2,0,0,0,상큼한 과일 향 좋아해요. 기분이 좋아져요!,고민
B_301,0,0,2,2,0,0,진설 언니랑 자주 얘기해요. 제가 막내라서 챙겨주고 의지해요.,기쁨
B_302,0,-1,2,0,-2,0,회사랑은 좋은 관계예요. 저희 의견을 잘 들어주셔서 좋아요.,당황
B_303,0,0,2,0,1,0,자주 싸우진 않아요. 언니들이 잘 이해해줘요.,감사
B_304,0,0,0,2,-2,1,아\c 죄송해요... 음... 아 /player 언니?,당황
B_305,0,0,2,0,0,0,회사에서 막내라고 특별히 더 신경 써줘서 좋아요.,기쁨
B_306,0,0,0,2,3,0,저는 막내로서 팀에 활력을 주는 역할이죠!,기쁨
B_307,0,0,0,2,0,0,대표님은 중요한 일 있을 때 뵈어요. 막내라서 많이 배려해주셔요.,고민
B_308,0,0,2,0,1,0,매니저님이 정말 많이 챙겨줘요. 스케줄 관리도 철저하고요.,기쁨
B_309,0,2,0,0,1,0,팀워크는 언니들이 많이 챙겨줘서 자연스럽게 형성돼요.,기쁨
B_310,0,0,2,2,2,0,아직 멤버들과 여행은 못 갔지만\c 언젠가 다 같이 가고 싶어요.,기쁨
B_311,0,0,2,0,0,0,회사에서 자율적으로 할 수 있게 많이 도와주셔서 편해요.,기쁨
B_312,0,0,2,2,0,0,진설 언니랑은 연습생 때부터 많이 의지하고 친했어요.,기쁨
B_313,0,0,2,0,0,0,큰 갈등은 없었어요. 회사가 저희 목소리를 잘 들어줘요.,고민
B_314,0,0,2,0,1,0,고민은 주로 진설 언니랑 얘기해요. 언니가 많이 조언해줘요.,기쁨
B_315,0,0,0,2,0,0,연습실은 자주 쓰게 해줘서 마음껏 연습할 수 있어요.,기쁨
