선택지ID,경험치,평판,친구수,성장도,호감도,에너지,답변,반응말풍선
S_101,0,0,0,0,3,0,엄마랑 많이 닮았다는 소리 자주 들어요.,기쁨
S_102,0,0,3,0,4,0,고마워요! 오늘 신경 많이 썼어요.,감사
S_103,0,3,0,0,0,0,블랙이나 실버 같은 모노톤 색을 좋아해요.\n깔끔한게 좋아서요.,기쁨
S_104,0,2,-1,2,0,0,아메리카노 추천해요\c 깔끔하고 좋아요.,기쁨
S_105,0,0,0,2,3,0,저는 다 좋지만\c Randers가 비트가 강렬해서 제 취향인것 같아요.,기쁨
S_106,0,0,3,0,0,0,하나 언니랑 자주 이야기 나눠요.,기쁨
S_107,0,0,0,0,-2,0,술은 거의 마시지 않아요.,당황
S_108,0,3,0,0,0,0,아직은 계획 없어요\c 지금 색이 좋아요.,기쁨
S_109,0,2,3,0,4,0,무대에서 더 효과적으로 퍼포먼스를 이끌어내는 방법이 고민이에요.,슬픔
S_110,0,-2,0,0,0,0,음\c 아직은 친구 사귀기보다는 팀 활동에 집중하고 싶어요.,당황
S_111,0,0,0,0,-2,0,일정 관리와 충분한 휴식을 중요시해요.,기쁨
S_112,0,3,0,0,0,0,최근에 이어폰을 새로 샀어요.\n이어폰 음질이 신경쓰이더라고요.,고민
S_113,0,2,0,2,0,0,영어 조금 해요\c 아직 많이 배우는 중이에요.,고민
S_114,2,0,0,-1,0,0,악기는 따로 배우지 않았어요.,당황
S_115,0,0,2,-1,0,0,저랑 부모님만 있어요.,당황
S_201,0,0,3,0,0,0,다크 팝이나 일렉트로닉 곡 자주 들어요.,고민
S_202,0,2,0,0,1,0,우주영화나 SF를 좋아요. 최근에는 인셉션을 다시 봤어요.,기쁨
S_203,0,0,2,2,0,0,미래를 다룬 소설 좋아해요. 작가는 다양해요.,기쁨
S_204,0,2,0,0,0,0,퓨처리스틱한 스타일 브랜드 선호해요.,기쁨
S_205,0,-1,2,3,0,0,조용한 곳에서 혼자 요가해요.,기쁨
S_206,0,0,0,0,1,2,요가와 명상\c 집중이 잘 돼요.,기쁨
S_207,0,0,0,2,0,0,아이슬란드 가보고 싶어요. 자연이 멋져요.,고민
S_208,0,0,2,0,0,0,겨울이요. 차가운 공기가 맑아서 좋아요.,기쁨
S_209,0,0,0,2,3,0,다크 팝과 몽환적인 음악 위주로 들어요.,기쁨
S_210,0,0,0,2,0,0,메탈릭 소재에 퓨처리스틱한 스타일로 입어요.,기쁨
S_211,0,0,3,0,0,0,모던한 카페 좋아해요. 그런 분위기가 좋은것 같아요.,기쁨
S_212,0,2,0,0,1,0,요가 외에도 새로운 춤을 배우고 싶어요.,감사
S_213,2,0,0,0,1,0,요가와 스트레칭\c 집중에 좋아요.,기쁨
S_214,0,0,0,2,0,2,신디사이저 배우고 싶어요.,기쁨
S_215,0,0,1,0,2,0,차가운 공기와 비슷한 향이 좋아요.,고민
S_301,0,0,0,2,0,0,예현언니와 자주 대화해요. 취향이 비슷해서요.,기쁨
S_302,0,0,2,0,0,0,회사와의 관계는 안정적이에요. 지원도 잘 받고 있어요.,기쁨
S_303,1,0,0,2,-3,0,자주 싸우진 않아요. 가끔 의견 충돌은 있지만 금방 풀어요.,당황
S_304,0,0,0,2,0,-2,아 죄송해요... 음... 아\c /player ?,당황
S_305,0,0,3,0,0,0,회사에서 필요한 것들은 충분히 지원해줘요.,기쁨
S_306,0,2,-3,0,1,-1,메인 댄서라 무대 퍼포먼스에 주력해요. 완벽주의자 성향이 있어서...,당황
S_307,2,0,0,0,1,0,대표님은 필요할 때마다 뵈어요. 소통이 원활해요.,감사
S_308,0,0,0,2,0,2,매니저님이랑 사이 좋고 일할 때 편하게 얘기해요.,기쁨
S_309,0,0,1,0,2,0,서로 존중하면서 팀워크를 다지고 있어요.,기쁨
S_310,0,0,0,2,0,0,아직 멤버들과 여행은 못 갔지만 계획 중이에요.,고민
S_311,0,0,2,0,0,0,회사가 자유롭게 일할 수 있게 해줘서 자율성이 커요.,기쁨
S_312,0,0,0,2,3,0,예현이랑은 처음부터 잘 맞아서 친해졌어요.,기쁨
S_313,0,0,0,2,0,0,회사와 갈등은 없었어요. 서로 이해하고 존중해요.,기쁨
S_314,0,0,3,0,0,0,고민이 생기면 주로 예현이랑 많이 얘기해요.,기쁨
S_315,0,2,0,0,1,0,연습실 자주는 물론 필요할 때마다 자유롭게 사용해요.,고민
