선택지ID,경험치,평판,친구수,성장도,호감도,에너지,답변,반응말풍선
Y_101,0,0,2,0,0,0,엄마랑 많이 닮았다는 말 들어요.,고민
Y_102,0,0,2,0,0,0,고마워요\c 오늘은 자연스럽게 해봤어요.,감사
Y_103,0,0,0,2,0,0,파스텔톤 색깔을 좋아해요\c 부드럽고 편해요.,기쁨
Y_104,0,2,0,0,0,0,녹차 라떼 추천해요\c 부드럽고 달콤해요.,고민
Y_105,0,0,0,2,3,0,저는 Randers요. 녹음할때 고음파트가 오려걸렸어서 애착이 가요.,기쁨
Y_106,1,0,0,2,2,0,신아랑 자주 이야기해요.\n동생이지만 생각이 깊고 목표도 뚜렷해요.,기쁨
Y_107,0,0,0,0,2,1,술을 거의 안 마셔서 잘 몰라요.,당황
Y_108,0,3,0,0,0,0,아직은 유지할 생각이에요. 이 색을 만드는데 힘들었어서...,기쁨
Y_109,0,2,0,2,0,0,최근에 카메라를 사서 카메라랑 사진이 가장 큰 관심사예요.,기쁨
Y_110,0,-1,2,2,0,0,아... 없어요.,당황
Y_111,0,0,0,0,-2,0,휴식과 건강한 식습관을 중요하게 생각해요.,고민
Y_112,0,0,3,0,0,0,최근에 카메라를 새로 샀어요.,당황
Y_113,0,-1,0,0,0,0,영어 조금 할 줄 알아요.,당황
Y_114,0,0,3,0,2,0,특별히 잘 다루는 악기는 없어요.,기쁨
Y_115,1,1,0,0,-2,0,아...부모님\c 저 이렇게 세 가족이에요.,당황
Y_201,0,0,0,4,2,0,잔잔한 R&B나 Lo-fi 힙합을 자주 들어요.,기쁨
Y_202,0,3,0,0,0,0,감성적인 예술 영화가 좋아해요. 잔잔한 분위기가 맞는것 같아요.,기쁨
Y_203,0,2,0,2,0,0,감정 표현이 깊은 시집을 자주 읽어요.,기쁨
Y_204,0,-1,2,2,0,0,스트릿 패션 브랜드나 유니크한 디자인을 좋아해요.,고민
Y_205,0,0,0,0,-2,0,자연 속에서 산책하면서 마음을 정리해요.,기쁨
Y_206,0,0,3,0,0,0,사진 찍기! 자연과 일상을 기록하는 걸 좋아해요.,기쁨
Y_207,0,-1,0,0,0,0,자연이 아름다운 곳으로 힐링 여행 가고 싶어요.,기쁨
Y_208,0,0,3,0,2,0,가을이 좋아요. 감성적이고 풍경이 아름다워요.,감사
Y_209,1,1,0,0,0,0,Lo-fi 힙합과 감성적인 R&B 곡들을 자주 들어요.,기쁨
Y_210,0,0,0,0,2,0,편안하면서도 독특한 스트릿 패션을 입어요.,기쁨
Y_211,0,0,1,0,0,2,조용한 분위기의 감성 카페를 추천해요.,당황
Y_212,1,1,0,2,0,0,힙합과 팝핀 춤을 더 배우고 싶어요.,고민
Y_213,1,0,0,0,0,2,요가나 스트레칭으로 마음을 정리해요.,기쁨
Y_214,0,0,1,2,1,0,피아노를 배워보고 싶어요\c 감성적인 소리가 좋아요.,기쁨
Y_215,0,2,0,0,2,0,부드러운 플로럴 향이 좋아요.,감사
Y_301,0,0,3,0,2,0,신아랑 자주 얘기해요. 음악 취향이 비슷해서 자주 공유해요.,기쁨
Y_302,1,1,0,0,0,0,회사랑의 관계는 편해요. 필요한 지원은 거의 다 해줘요.,기쁨
Y_303,0,-2,0,0,2,0,싸움보다는 의견 차이가 있을 때 대화를 많이 해요.,당황
Y_304,0,0,-2,1,-2,2,아... 기억해요. /player 맞죠?,화남
Y_305,1,1,0,2,0,0,회사에서 필요한 지원은 빠르게 해줘서 불편함 없어요.,기쁨
Y_306,1,0,0,0,0,-2,저는 메인 보컬로 감정 표현과 퍼포먼스에 집중해요.,당황
Y_307,0,0,1,2,1,0,대표님은 주로 큰 행사 전에 뵈요. 방향성에 대해 조언도 많이 받아요.,기쁨
Y_308,0,2,0,0,2,0,매니저님과는 편하게 지내요. 서로 의견 잘 나눠요.,기쁨
Y_309,0,0,3,0,2,0,음악 얘기를 많이 하면서 팀워크가 자연스럽게 생겨요.,고민
Y_310,1,1,0,0,0,0,멤버들과 여행은 아직 못 갔지만\c 꼭 가보고 싶어요.,기쁨
Y_311,0,0,0,0,2,0,회사에서 우리 의견을 존중해줘서 자유롭게 활동할 수 있어요.,감사
Y_312,0,0,1,0,0,2,신아랑은 음악적인 공감대가 커서 데뷔 전부터 친했어요.,기쁨
Y_313,1,1,0,2,0,0,큰 갈등 없이 잘 지내고 있어요. 회사와 소통이 잘 되니까요.,기쁨
Y_314,1,0,0,0,0,2,고민은 주로 신아랑 나눠요. 둘 다 감정적으로 섬세해서요.,기쁨
Y_315,0,0,1,2,1,0,연습실은 자주 제공돼요. 감정 연습할 시간도 충분해요.,기쁨
